 s_pro_id,student_id,program_id,program_start,program_end,program_status,grad_date
399,7446,13,8/17/2020,5/20/2022,Graduated,10/15/2022
400,7463,13,8/17/2020,5/20/2022,Graduated,10/15/2022
401,7482,13,8/1/2021,,In Process,
402,7499,13,8/13/2018,,In Process,
403,7542,13,8/1/2021,,In Process,
404,7560,13,8/13/2018,,In Process,
405,7598,13,8/1/2021,,In Process,
406,7617,13,1/1/2022,,In Process,
407,7631,13,8/1/2018,,Dropped,
408,7635,13,8/13/2018,5/20/2021,Graduated,10/23/2021
409,7663,13,8/1/2020,,In Process,
410,7684,13,8/17/2020,5/20/2022,Graduated,10/15/2022
411,7703,13,8/17/2020,5/20/2022,Graduated,10/15/2022
412,7722,13,1/1/2021,,In Process,
413,7743,13,8/13/2018,7/23/2021,Graduated,10/23/2021
414,7770,13,8/13/2018,5/20/2022,Graduated,10/15/2022
415,7770,13,8/17/2020,,In Process,
416,7793,13,8/1/2018,,Terminated,
417,7801,13,8/1/2018,,In Process,
418,7837,13,1/1/2019,,In Process,
419,7863,13,8/1/2021,,In Process,
420,7878,13,8/1/2019,,In Process,
421,7911,13,8/15/2022,,In Process,
422,7913,13,8/16/2021,,In Process,
423,7930,13,8/1/2021,,In Process,
424,7947,13,1/17/2023,,In Process,
425,7952,13,8/1/2021,,In Process,
426,7972,13,8/1/2019,,In Process,
427,8006,13,8/1/2020,,In Process,
428,8033,13,8/15/2022,,In Process,
429,8044,13,8/1/2020,,In Process,
430,8064,13,8/1/2020,,Terminated,
431,8071,13,8/15/2022,,In Process,
432,8082,13,8/15/2022,,In Process,
433,8092,13,1/17/2023,,In Process,
434,8096,13,8/1/2022,,In Process,
435,8109,13,8/15/2022,,In Process,
436,8121,13,8/1/2021,,In Process,
437,8133,13,8/1/2021,,In Process,
438,8154,13,1/1/2022,,Transferred,
439,8160,13,6/24/2022,,In Process,
440,8170,13,8/1/2021,,In Process,
441,8191,13,8/15/2022,,In Process,
442,8200,13,8/1/2021,,In Process,
443,8220,13,8/1/2022,,In Process,
444,8232,13,8/1/2022,,Dropped,
445,8235,13,8/1/2022,,In Process,
446,8244,13,8/1/2022,,In Process,
447,8254,13,8/1/2022,,In Process,
448,8266,13,8/1/2022,,In Process,
449,8273,13,8/28/2000,5/10/2003,Graduated,6/8/2003
450,8304,13,8/23/2000,,Dropped,
451,8311,13,8/18/2003,,Dropped,
452,8322,13,8/28/2000,5/10/2002,Graduated,6/2/2002
453,8340,13,8/13/2007,5/19/2014,Graduated,6/14/2014
454,8368,13,8/13/2007,5/13/2013,Graduated,6/15/2013
455,8394,13,12/14/1999,5/10/2003,Graduated,6/8/2003
456,8423,13,8/19/2013,,Dropped,
